areaId,ms_x,ms_y,RU5,RU6,RU9,RU11,RU12
3,15.0324,34.5781,-75.7386,-34.9025,-26.0395,-45.9547,-99.3728
3,15.5324,34.5781,-86.6102,-38.4849,-50.202,-53.2183,-93.3001
3,16.0324,34.5781,-86.9025,-36.9456,-31.4462,-44.4462,-100.243
3,16.5324,34.5781,-80.6515,-40.0531,-32.5797,-42.1073,-95.0648
3,17.0324,34.5781,-77.5554,-39.112,-33.966,-43.4774,-92.2174
3,17.5324,34.5781,-74.7472,-45.4765,-22.908,-45.3684,-106.721
3,18.0324,34.5781,-75.5349,-37.4732,-24.4111,-39.5441,-93.1976
3,18.5324,34.5781,-81.0523,-39.9678,-39.3589,-40.0835,-103.27
3,19.0324,34.5781,-98.3303,-65.0538,-33.3351,-40.3938,-98.4964
3,19.5324,34.5781,-81.4975,-40.8526,-33.6707,-37.1685,-105.292
3,20.0324,34.5781,-77.8398,-43.4649,-26.2404,-37.3251,-98.6505
3,20.5324,34.5781,-77.815,-54.175,-26.3298,-41.7125,-102.7
3,21.0324,34.5781,-81.6686,-42.3164,-24.6685,-40.9768,-94.6149
3,21.5324,34.5781,-89.3077,-44.3385,-26.2117,-37.8141,-98.2278
3,22.0324,34.5781,-87.0715,-46.8169,-25.3408,-35.8904,-87.2144
3,22.5324,34.5781,-88.7588,-38.4388,-27.76,-35.7914,-86.9921
3,23.0324,34.5781,-91.7978,-34.569,-27.3144,-36.525,-87.7764
3,23.5324,34.5781,-90.0036,-37.7619,-22.5972,-51.1499,-87.7685
3,24.0324,34.5781,-81.0963,-32.7013,-25.1768,-36.0539,-92.876
3,24.5324,34.5781,-85.9367,-37.8944,-29.4475,-32.626,-92.1441
3,25.0324,34.5781,-84.2582,-33.439,-27.9617,-32.0173,-91.0777
3,25.5324,34.5781,-87.9105,-35.7102,-28.5167,-32.7632,-87.5706
3,26.0324,34.5781,-82.9081,-33.4487,-28.6695,-34.2119,-90.2435
3,26.5324,34.5781,-87.5975,-36.8217,-32.4344,-39.2423,-89.5366
3,27.0324,34.5781,-79.8023,-31.8553,-31.5719,-29.7139,-99.112
3,27.5324,34.5781,-85.4009,-36.8349,-32.4546,-31.5029,-92.9518
3,28.0324,34.5781,-79.1202,-41.0178,-28.6423,-32.6353,-88.9507
3,28.5324,34.5781,-78.9878,-34.5501,-25.6018,-34.5123,-89.6875
3,29.0324,34.5781,-96.8935,-33.3254,-36.6269,-39.5411,-98.5187
3,29.5324,34.5781,-92.2803,-38.8403,-32.5247,-40.1219,-96.4423
3,30.0324,34.5781,-92.2284,-35.005,-36.2687,-33.5516,-95.2581
3,30.5324,34.5781,-86.3436,-32.8025,-36.8566,-40.7499,-86.733
3,31.0324,34.5781,-83.0447,-30.5094,-39.6308,-31.3864,-88.2923
3,31.5324,34.5781,-76.8631,-34.8665,-41.5591,-59.5752,-86.6937
3,32.0324,34.5781,-84.0052,-32.7211,-42.1284,-38.4772,-92.0764
3,32.5324,34.5781,-77.5139,-34.6772,-33.621,-33.3959,-99.9446
3,33.0324,34.5781,-81.7406,-35.931,-37.7358,-30.6298,-100.338
3,33.5324,34.5781,-77.7074,-38.794,-42.6675,-31.4065,-90.7077
3,34.0324,34.5781,-79.4123,-44.1985,-51.6028,-36.2988,-88.9034
3,34.5324,34.5781,-77.8786,-40.2886,-37.6971,-35.2012,-93.3586
3,35.0324,34.5781,-77.8943,-46.3517,-38.651,-40.5326,-92.1747
3,35.5324,34.5781,-77.5771,-41.37,-50.2104,-42.224,-91.4518
3,36.0324,34.5781,-78.4239,-38.6396,-37.5233,-36.5063,-85.2852
3,36.5324,34.5781,-77.2561,-44.9611,-43.9256,-34.6947,-82.4242
3,37.0324,34.5781,-79.349,-39.2221,-44.4265,-37.8468,-71.514
3,37.5324,34.5781,-77.3078,-43.5643,-41.2464,-37.2482,-66.9547
3,38.0324,34.5781,-78.376,-40.5589,-43.1409,-31.4768,-68.4716
3,38.5324,34.5781,-77.2301,-47.5521,-35.5204,-32.3605,-73.6397
3,39.0324,34.5781,-78.0946,-41.6167,-46.7779,-46.0627,-71.9606
3,39.5324,34.5781,-79.0082,-44.7221,-39.9607,-46.717,-72.0069
3,40.0324,34.5781,-78.5928,-47.7014,-37.4286,-37.4224,-69.4743
3,40.5324,34.5781,-83.9343,-51.6258,-36.5682,-37.9336,-60.0386
3,41.0324,34.5781,-77.9183,-52.47,-42.7905,-35.0684,-60.6617
3,41.5324,34.5781,-81.125,-54.5286,-42.352,-40.3205,-59.4189
3,42.0324,34.5781,-80.1927,-44.0426,-38.6852,-37.9657,-61.6433
3,42.5324,34.5781,-85.9467,-49.1893,-42.2968,-33.7475,-62.916
3,43.0324,34.5781,-83.5162,-45.0164,-36.8563,-28.3853,-59.4888
3,43.5324,34.5781,-79.3792,-48.7825,-40.8083,-32.478,-58.8114
3,44.0324,34.5781,-84.7123,-62.6611,-44.6051,-35.9436,-58.8389
3,44.5324,34.5781,-79.6066,-51.5919,-35.9706,-36.8729,-60.2162
3,45.0324,34.5781,-83.0692,-42.6849,-34.207,-36.9293,-55.7642
3,45.5324,34.5781,-79.9874,-45.358,-34.4257,-35.6949,-56.6434
3,46.0324,34.5781,-85.7394,-55.4098,-31.0894,-27.1171,-64.148
3,46.5324,34.5781,-80.0591,-49.6866,-41.8203,-44.956,-51.7078
3,47.0324,34.5781,-85.4904,-48.8524,-42.3173,-32.5464,-56.4637
3,47.5324,34.5781,-88.0572,-52.0328,-34.9907,-30.2567,-49.7066
3,48.0324,34.5781,-82.3759,-47.2581,-34.5531,-41.15,-54.2221
3,48.5324,34.5781,-90.5464,-59.872,-36.1812,-31.7796,-53.5764
3,49.0324,34.5781,-89.8013,-53.2847,-30.5411,-30.3308,-53.6413
3,49.5324,34.5781,-102.647,-46.8005,-35.9562,-30.7028,-58.3483
3,50.0324,34.5781,-85.7385,-48.0979,-31.6067,-31.6558,-57.2197
3,50.5324,34.5781,-98.8985,-47.5451,-34.9963,-30.6388,-51.2816
3,51.0324,34.5781,-83.4333,-46.0996,-34.338,-26.5872,-59.0005
3,51.5324,34.5781,-95.0262,-48.4639,-37.6493,-26.7964,-56.9907
3,52.0324,34.5781,-83.7334,-41.8245,-31.7129,-34.3532,-51.2433
3,52.5324,34.5781,-90.6099,-43.5843,-36.8097,-25.9536,-46.0686
3,53.0324,34.5781,-85.623,-42.4677,-37.6919,-33.5628,-46.6163
3,53.5324,34.5781,-104.253,-43.9586,-40.0729,-23.8953,-58.6464
3,54.0324,34.5781,-85.5666,-43.8364,-38.2274,-23.4325,-55.6471
3,54.5324,34.5781,-92.5557,-41.5795,-41.973,-30.3295,-48.6811
3,55.0324,34.5781,-92.2149,-42.7609,-43.6235,-32.562,-44.0464
3,55.5324,34.5781,-91.0258,-46.1048,-42.2497,-42.0984,-40.1317
4,56.2001,0.0342332,-250,-99.6444,-87.5749,-38.2046,-32.0093
4,56.7001,0.0342332,-250,-93.4404,-85.7469,-28.445,-28.2959
4,57.2001,0.0342332,-250,-94.2299,-86.4133,-41.3056,-45.447
4,57.7001,0.0342332,-250,-93.6635,-83.4425,-38.3883,-30.6963
4,58.2001,0.0342332,-250,-94.4756,-85.4463,-39.8558,-31.7741
4,56.2001,0.534233,-250,-90.3185,-84.8938,-38.8088,-32.0718
4,56.7001,0.534233,-250,-96.9014,-88.1127,-35.6463,-36.7055
4,57.2001,0.534233,-250,-99.9708,-93.6862,-45.4436,-41.2325
4,57.7001,0.534233,-250,-104.075,-91.7837,-35.3945,-32.6342
4,58.2001,0.534233,-250,-98.064,-85.5154,-36.6973,-33.7322
4,56.2001,1.03423,-250,-93.4241,-89.0778,-38.8055,-41.1027
4,56.7001,1.03423,-250,-98.9866,-92.0661,-38.2556,-32.1079
4,57.2001,1.03423,-250,-101.521,-97.0254,-39.8015,-33.6072
4,57.7001,1.03423,-250,-98.4734,-87.5014,-36.8105,-38.9813
4,58.2001,1.03423,-250,-95.1704,-83.5136,-41.9585,-35.34
4,56.2001,1.53423,-250,-97.0951,-85.3643,-43.3311,-38.574
4,56.7001,1.53423,-250,-95.3316,-87.8509,-44.4411,-41.8492
4,57.2001,1.53423,-250,-98.5902,-87.8951,-45.7891,-34.8982
4,57.7001,1.53423,-250,-112.245,-89.7531,-36.187,-38.4919
4,58.2001,1.53423,-250,-104.053,-85.9093,-40.6495,-35.1926
4,56.2001,2.03423,-250,-93.0126,-85.9468,-32.6106,-37.9527
4,56.7001,2.03423,-250,-89.4338,-82.6867,-39.883,-37.9687
4,57.2001,2.03423,-250,-93.6461,-83.8973,-39.2234,-38.2368
4,57.7001,2.03423,-250,-97.4293,-86.0948,-33.0681,-40.9141
4,58.2001,2.03423,-250,-103.11,-86.6229,-38.4307,-27.6958
4,56.2001,2.53423,-250,-87.9148,-80.3839,-30.7886,-28.7854
4,56.7001,2.53423,-250,-88.5841,-82.5845,-39.6277,-39.066
4,57.2001,2.53423,-250,-97.2884,-88.7853,-32.4797,-29.8069
4,57.7001,2.53423,-250,-103.59,-96.0681,-37.1145,-34.8197
4,58.2001,2.53423,-250,-101.602,-101.986,-44.2772,-27.9781
4,56.2001,3.03423,-250,-88.6932,-85.0536,-35.5665,-29.5863
4,56.7001,3.03423,-250,-90.1511,-83.6894,-36.3779,-36.6883
4,57.2001,3.03423,-250,-95.9527,-88.6544,-31.63,-37.5747
4,57.7001,3.03423,-250,-98.7274,-93.2498,-40.0466,-37.8318
4,58.2001,3.03423,-250,-100.67,-99.8951,-33.9527,-34.7663
4,56.2001,3.53423,-250,-97.3382,-83.906,-37.0139,-33.3733
4,56.7001,3.53423,-250,-96.0142,-86.7584,-37.2043,-37.0338
4,57.2001,3.53423,-250,-102.108,-89.8662,-40.385,-37.2602
4,57.7001,3.53423,-250,-98.9993,-88.4025,-38.1591,-34.2793
4,58.2001,3.53423,-250,-98.0217,-84.1134,-41.5186,-38.9121
4,56.2001,4.03423,-250,-90.3533,-87.4811,-32.032,-38.7507
4,56.7001,4.03423,-250,-89.7054,-83.2606,-55.3959,-37.7225
4,57.2001,4.03423,-250,-92.2349,-84.0644,-40.4184,-37.7236
4,57.7001,4.03423,-250,-93.711,-82.7767,-35.4293,-29.4751
4,58.2001,4.03423,-250,-93.9544,-81.8656,-33.6775,-36.0256
4,56.2001,4.53423,-250,-93.9401,-85.0092,-34.5766,-26.6699
4,56.7001,4.53423,-250,-91.1629,-85.4653,-48.5788,-29.1992
4,57.2001,4.53423,-250,-91.5504,-84.7936,-35.7684,-30.3817
4,57.7001,4.53423,-250,-95.2774,-86.6553,-34.1842,-30.6022
4,58.2001,4.53423,-250,-100.399,-85.2918,-35.8889,-40.6166
4,56.2001,5.03423,-250,-95.6518,-87.6708,-34.0799,-32.7721
4,56.7001,5.03423,-250,-93.5392,-85.8022,-39.6428,-29.3344
4,57.2001,5.03423,-250,-93.6769,-88.5536,-37.7397,-41.6451
4,57.7001,5.03423,-250,-97.6833,-93.2646,-37.6763,-27.8635
4,58.2001,5.03423,-250,-96.5901,-82.8868,-32.8159,-39.7957
4,56.2001,5.53423,-250,-98.9331,-105.619,-34.779,-37.1374
4,56.7001,5.53423,-250,-101.004,-91.4398,-35.9983,-30.3015
4,57.2001,5.53423,-250,-95.2227,-92.3505,-33.1761,-45.1983
4,57.7001,5.53423,-250,-95.9554,-90.4434,-39.7339,-51.053
4,58.2001,5.53423,-250,-96.8086,-86.7169,-31.5857,-38.6842
4,56.2001,6.03423,-250,-110.469,-91.4481,-37.0563,-26.6228
4,56.7001,6.03423,-250,-113.605,-96.8612,-41.2004,-30.5683
4,57.2001,6.03423,-250,-99.2307,-93.3957,-34.7159,-32.8973
4,57.7001,6.03423,-250,-97.1983,-91.053,-38.0567,-34.1626
4,58.2001,6.03423,-250,-100.512,-92.6111,-27.7018,-30.3045
4,56.2001,6.53423,-250,-91.1517,-88.9932,-33.6932,-27.9073
4,56.7001,6.53423,-250,-93.0716,-89.5236,-36.5732,-33.3475
4,57.2001,6.53423,-250,-107.145,-92.3519,-38.8136,-24.7121
4,57.7001,6.53423,-250,-102.55,-94.9183,-36.8298,-29.0503
4,58.2001,6.53423,-250,-100.747,-89.1477,-29.3502,-29.7563
4,56.2001,7.03423,-250,-90.1397,-85.7775,-30.5766,-32.2715
4,56.7001,7.03423,-250,-92.9356,-87.2934,-38.8703,-33.8889
4,57.2001,7.03423,-250,-96.3641,-86.8467,-34.669,-26.5393
4,57.7001,7.03423,-250,-101.802,-91.3268,-50.4052,-33.6006
4,58.2001,7.03423,-250,-94.1331,-84.3584,-39.2991,-32.2705
4,56.2001,7.53423,-250,-87.834,-82.1052,-33.3382,-33.4241
4,56.7001,7.53423,-250,-90.3069,-83.9016,-54.9922,-29.7415
4,57.2001,7.53423,-250,-93.7831,-84.1305,-47.694,-29.9688
4,57.7001,7.53423,-250,-95.354,-94.6561,-34.6938,-36.9582
4,58.2001,7.53423,-250,-94.2548,-89.2037,-37.7299,-27.1206
4,56.2001,8.03423,-250,-90.4215,-90.0885,-43.2933,-25.8577
4,56.7001,8.03423,-250,-92.6089,-85.587,-34.6198,-29.4415
4,57.2001,8.03423,-250,-116.851,-88.6128,-47.6546,-28.9359
4,57.7001,8.03423,-250,-94.7821,-87.4369,-32.1158,-31.1148
